Read, קרא
Assignment Completed, המשימה הושלמה
Communication, תקשורת
Call, שיחה
GMail, Gmail
End Date, תאריך סיום
Apply this rule if the User is the Owner, החל כלל זה אם המשתמש הוא הבעלים
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}'
Timeline DocType, ציר הזמן של סוג המסמך
Assigned By, הוקצה על ידי
Select All, בחר הכל
"If a Role does not have access at Level 0, then higher levels are meaningless."
Share With, שתף עם
Department, מחלקה
Sending, שליחה
Name not set via Prompt, לא הוגדר שם באמצעות שורת הפקודה
Amend, תקן
1 hour ago, לפני שעה 1
This format is used if country specific format is not found, פורמט זה משמש במקרה בו הפורמט הספציפי למדינה לא נמצא
Medium, אמצעי
Print Format, פורמט הדפסה
SMTP Settings for outgoing emails, הגדרות פרוטוקול ה-SMTP עבור הודעות הדואר האלקטרוני היוצאות
Private, פרטי
Drag elements from the sidebar to add. Drag them back to trash., גרור אלמנטים מהסרגל על מנת להוסיפם. גרור אותם בחזרה על מנת להשליך..
Logout, התנתק
Email Sent, ההודעה נשלחה
Enable Auto Reply, אפשר מענה אוטומטי
Send Alert On, שלח התראה ב
"A new task, {0}
Property Setter overrides a standard DocType or Field property, מגדיר הנכס דורס סוג מסמך סטנדרטי או את שדה הנכס
or, או
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values., ערכים אלו יתעדכנו באופן אוטומטי בעסקאות וגם יהיו שימושיים על מנת להגביל את ההרשאות למשתמש זה בעסקאות המכילות את הערכים הללו.
Brand, מותג
Edit HTML, ערוך HTML
You can also copy-paste this link in your browser, תוכל בנוסף להעתיק ולהדביק את הקישור הזה בדפדפן שלך
Time Zones, אזורי זמן
User {0} cannot be renamed, לא ניתן לשנות את השם של המשתמש {0}
Edit Profile, ערוך פרופיל
play-circle, סמל הפעלה
text-width, רוחב הטקסט
Please set Dropbox access keys in your site config, נא הגדר מקשי גישה ל-dropbox בהגדרות התצורה של האתר
Slideshow like display for the website, מצגת לתצוגה עבור אתר האינטרנט
Welcome email sent, הודעת ברוכים הבאים נשלחה
Bulk Edit {0}, עריכה בכמות גדולה{0}
If Owner, אם בעלים
Auto Reply Message, הודעת תשובה אוטומטית
Patch Log, תקן יומן
Email By Document Field, שלח בדואר האלקטרוני על ידי שדה מסמך
Assign To, הקצה ל
Allow Delete, אפשר מחיקה
{0}: Cannot set import as {1} is not importable, {0}: לא ניתן להגדיר ערך בשעה {1} הוא לא יביא
{0}: Cannot set Import without Create, {0}: לא ניתן להגדיר יבוא ללא יצירת
eye-open, עין-פתוחה
Org History, ההיסטוריה של הארגון
Failed, נכשל
Preview HTML, התצוגה המקדימה של HTML
{0}: Cannot set Assign Amend if not Submittable, {0}: לא ניתן להגדיר הקצאת תיקון אם לא הוא לא ניתן להגשה
none of, אף אחד מ
Only Administrator allowed to create Query / Script Reports, רק מנהל רשאי ליצור שאילתא / דוחות סקריפטים
Link Name, שם קישור
Contacts, פרטי קשר
Hide Details, הסתר פרטים
Website User, משתמש אתר
Adding System Manager to this User as there must be atleast one System Manager, הוספת הרשאת מנהל מערכת למשתמש זה כיוון שחייב להיות מנהל מערכת אחד
Desk, שולחן העבודה
Progress, התקדמות
random, אקראי
Contact Email, דואר אלקטרוני ליצירת קשר
"Dear System Manager, "
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field"
Please try again, אנא נסה שנית
Pyver, Pyver
Cache Cleared, המטמון נוקה
Image Field, שדה תמונה
App Name, שם האפליקציה
PDF, PDF
Arial, Arial
Allow on Submit, אפשר הגשה
Primary, עיקרי
Style Settings, הגדרות סגנון
Please save before attaching., אנא שמור לפני צירוף.
Get Items, קבל פריטים
{0} {1} not found, {0} {1} לא נמצא
"Actions for workflow (e.g. Approve, Cancel)."
{0} created this {1}, {0} נוצר זה {1}
States, הברית
Date, תאריך
Documents, מסמכים
Accounts Manager, מנהל חשבונות
Document Queued, מסמך בתור
Top Bar Items, פריטים בסרגל העליון
Edit Filter, סינון עריכה
Label is mandatory, יש להזין תווית
File size exceeded the maximum allowed size of {0} MB, גודל קובץ חרג מהגודל המרבי המותר {0} MB
